trial_id,metric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config.learning_rate,config.num_epochs,config.dropout,config.hidden_size,config.num_layers
64e4c_00000,0.8918,1.4137294292449951,False,,,36.0,693c723266d94686acb4762297915996,2022-06-24_06-04-38,1656050678.0,55.654810667037964,4224.0,ip-172-16-25-132,172.16.25.132,55.654810667037964,0.0,36.0,0.0028324127197265625,"0_dropout=0.4663,hidden_size=169,learning_rate=0.0002,num_epochs=17,num_layers=2",0.0001782649715138694,17.0,0.4662786796693294,169.0,2.0
64e4c_00001,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00002,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00003,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00004,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00005,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00006,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00007,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00008,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00009,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00010,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00011,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00012,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00013,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00014,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00015,,,,,,,,,,,,,,,,,,,,,,,
64e4c_00016,,,,,,,,,,,,,,,,,,,,,,,
